Prediction1,Prediction2,Prediction3,Prediction4,Prediction5,Prediction6,Prediction7,Prediction8,Prediction9
0.00165177,1.30908e-07,3.95874e-10,5.68622e-16,0.978518,1.80078e-14,1.04444e-14,0.01983,3.39826e-10
0.00210672,1.14705e-05,5.92513e-07,5.10211e-13,0.985032,1.481e-11,1.84568e-10,0.012849,8.48766e-08
0.000631366,1.26253e-07,9.38769e-10,1.27215e-17,0.992867,1.8395e-15,8.6106e-15,0.00650133,1.55969e-10
0.00572892,0.000306508,0.000479765,8.58442e-09,0.92593,2.068e-07,3.73307e-06,0.0675216,2.92622e-05
0.0,1.82035e-27,1.0,0.0,4.48389e-24,8.47288e-32,2.31245e-18,4.72252e-22,3.10475e-27
0.0,0.0,1.0,0.0,4.72313e-36,0.0,9.14292e-28,4.70223e-33,0.0
0.0,1.76971e-23,1.0,0.0,1.45752e-20,5.50191e-28,3.92946e-16,3.22094e-19,1.27142e-23
0.0,9.76529e-24,1.0,0.0,7.93442e-21,3.0976e-28,3.08857e-16,2.063e-19,6.76698e-24
0.0,1.65263e-28,1.0,0.0,4.92258e-25,2.74974e-33,5.88133e-19,6.79622e-23,1.29843e-28
0.0,7.17618e-38,1.0,0.0,2.49774e-33,0.0,1.35244e-25,2.23226e-30,1.34877e-37
0.0,1.39425e-25,1.0,0.0,2.56537e-22,9.41132e-30,7.97701e-17,1.84624e-20,1.40894e-25
0.0,1.01034e-23,1.0,0.0,9.03105e-21,3.35912e-28,3.01166e-16,2.2125e-19,8.08522e-24
0.0,2.01687e-30,1.0,0.0,1.00605e-26,1.00125e-35,3.07345e-20,1.83118e-24,1.26957e-30
0.0,3.70988e-31,1.0,0.0,2.30463e-27,1.70149e-36,8.76931e-21,4.84807e-25,3.05889e-31
0.0,2.05841e-28,1.0,0.0,6.58099e-25,5.81805e-35,1.26663e-19,1.83643e-23,2.33201e-29
0.0,5.82292e-30,1.0,0.0,2.64583e-26,1.56156e-36,1.51458e-20,1.29354e-24,8.27816e-31
0.0,7.55886e-30,1.0,0.0,3.14337e-26,5.3609e-35,5.83701e-20,4.66365e-24,6.86443e-30
0.0,3.11276e-27,1.0,0.0,9.90833e-24,1.51669e-31,8.6224e-18,1.09704e-21,4.02802e-27
0.0,2.38665e-26,1.0,0.0,5.84696e-23,1.75279e-30,3.59034e-17,5.6153e-21,2.9835e-26
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05805e-17,0.0
0.0,8.36711e-24,1.0,0.0,7.7735e-21,3.2246e-28,2.93813e-16,2.07116e-19,7.24409e-24
0.0,1.00941e-23,1.0,0.0,8.72719e-21,2.82812e-28,2.68768e-16,2.05128e-19,7.05359e-24
0.0,8.29878e-29,1.0,0.0,2.71052e-25,1.36874e-33,4.23665e-19,4.27422e-23,6.5335e-29
1.0,1.25416e-24,0.0,0.0,3.1587e-23,1.37666e-33,0.0,8.09324e-09,5.70741e-19
0.0,2.98254e-24,1.0,0.0,3.07943e-21,9.44214e-29,1.68339e-16,9.3199e-20,2.39137e-24
1.6244e-32,7.88467e-19,1.0,0.0,6.87289e-17,2.6352e-24,2.62987e-14,1.64089e-16,3.8547e-20
0.0,6.27824e-30,1.0,0.0,2.66071e-26,4.34928e-35,5.18351e-20,4.02113e-24,5.74596e-30
1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12833e-18,0.0
0.0542237,0.0001666,3.35207e-06,2.49988e-05,0.701178,2.98826e-06,1.99046e-07,0.24432,8.05014e-05
1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.12253e-13,3.61177e-38
0.999999,5.16532e-22,0.0,1.75961e-37,1.38116e-18,3.83388e-28,0.0,7.20718e-07,5.62622e-17
1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43311e-24,0.0
8.66071e-18,8.80316e-20,0.0,0.0,0.0,7.36937e-25,0.0,3.42632e-22,1.0
0.0,9.03991e-29,1.0,0.0,2.83189e-25,1.20525e-35,5.15496e-20,7.26113e-24,6.67225e-30
1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.30808e-18,0.0
8.72036e-38,1.39224e-22,1.0,0.0,9.07814e-20,1.24835e-26,2.73993e-15,2.57545e-18,9.45312e-23
0.999997,5.10028e-18,0.0,9.68597e-34,3.71731e-16,6.34116e-24,0.0,2.73928e-06,5.33821e-14
0.999746,2.41021e-15,4.83431e-38,6.20893e-24,2.69693e-11,5.17615e-20,0.0,0.000254344,1.65856e-12
1.66107e-10,3.07348e-12,6.24503e-25,0.0,2.98084e-27,8.39261e-12,7.39661e-30,2.2731e-11,1.0
1.26854e-10,1.42182e-12,6.36672e-26,0.0,5.32897e-28,3.56396e-12,1.07072e-30,1.55116e-11,1.0
0.0,1.95476e-23,1.0,0.0,1.99466e-20,2.95323e-27,3.34042e-15,9.96373e-19,1.66552e-23
1.48608e-14,1.88245e-18,8.32976e-14,7.8621e-13,1.38939e-16,0.999618,3.47731e-09,0.000245787,0.000136174
1.0,6.74743e-20,0.0,0.0,1.5021e-19,4.07271e-27,0.0,1.78753e-07,1.93946e-15
0.999995,4.31595e-15,0.0,2.9618e-33,2.4584e-15,5.28084e-21,0.0,4.92784e-06,1.12413e-11
0.999785,1.82544e-11,2.79698e-30,1.22928e-23,4.41213e-11,1.31483e-15,2.11961e-32,0.000215141,9.53803e-09
0.0,1.03144e-23,1.0,0.0,7.27831e-21,8.39212e-28,2.00545e-16,2.5128e-19,1.3046e-23
2.18321e-34,0.0,1.8045e-32,2.3737e-30,0.0,1.0,1.5193e-21,2.02946e-09,1.75701e-10
0.999999,2.76178e-19,0.0,2.13998e-38,1.48815e-18,7.67919e-26,0.0,1.4604e-06,1.08313e-14
0.0,1.6606e-27,1.0,0.0,4.0271e-24,5.18597e-32,2.39754e-18,4.16084e-22,2.24772e-27
0.999991,6.12931e-16,0.0,7.7311e-31,1.28789e-14,2.22636e-21,0.0,9.44269e-06,2.42791e-12
0.0,2.90678e-30,1.0,0.0,1.37443e-26,1.90203e-35,3.47498e-20,2.32588e-24,2.69312e-30
4.00016e-13,1.54773e-13,8.00476e-38,0.0,0.0,9.4349e-21,0.0,4.54513e-18,1.0
0.0,0.0,1.0,0.0,5.18613e-37,0.0,2.77061e-28,8.44428e-34,0.0
1.72767e-09,1.48882e-11,1.04839e-22,0.0,4.47002e-24,1.22243e-10,2.52604e-26,5.44191e-10,1.0
1.84307e-16,9.98652e-20,4.0398e-37,0.0,0.0,6.02939e-17,0.0,9.1519e-17,1.0
1.75526e-11,0.0,0.0,2.41052e-34,3.95473e-23,1.54373e-22,0.0,1.0,4.781e-20
3.33943e-38,8.48103e-23,1.0,0.0,5.59179e-20,4.40576e-27,1.25161e-15,1.20133e-18,6.60277e-23
0.000429841,3.41025e-12,1.67816e-16,4.61098e-10,9.52512e-07,7.95307e-07,1.46148e-13,0.999564,4.42578e-06
7.65863e-07,4.04852e-08,8.04383e-17,8.5014e-38,1.7233e-17,3.09181e-08,3.37485e-19,1.65113e-07,0.999999
0.999997,1.66288e-18,0.0,1.71588e-33,3.65176e-16,2.47068e-24,0.0,2.78162e-06,2.19489e-14
1.11112e-11,1.67099e-14,1.62012e-10,1.46025e-09,1.22998e-12,0.997587,5.85253e-07,0.00143718,0.000974962
0.0,1.64616e-26,1.0,0.0,3.90517e-23,6.73765e-31,1.8175e-17,3.25341e-21,1.53357e-26
0.0,1.54911e-23,1.0,0.0,1.301e-20,4.26608e-28,3.4438e-16,2.80984e-19,1.0602e-23
0.0,1.77565e-31,1.0,0.0,1.7083e-27,6.89735e-37,6.83277e-21,3.29591e-25,1.80463e-31
0.0,1.80409e-36,1.0,0.0,2.89799e-32,0.0,5.04924e-25,2.16687e-29,8.62377e-36
0.999995,7.976e-17,0.0,1.35224e-32,1.83482e-15,1.44001e-22,0.0,4.86126e-06,4.96671e-13
0.0,3.94752e-31,1.0,0.0,4.4033e-27,2.04188e-36,2.27089e-20,8.36006e-25,4.2833e-31
1.0,3.70168e-24,0.0,0.0,1.1591e-21,9.537e-32,0.0,4.57366e-08,1.18027e-18
0.0,2.4182e-24,1.0,0.0,2.31114e-21,6.10012e-29,1.29691e-16,7.01718e-20,1.59957e-24
4.51248e-18,1.0,1.32753e-35,0.0,0.0,0.0,0.0,3.75844e-32,6.97484e-17
1.0,7.52356e-38,0.0,0.0,4.83263e-34,0.0,0.0,1.17144e-11,2.76899e-29
4.82439e-10,1.0,6.86736e-18,0.0,1.00374e-21,5.54546e-27,1.33096e-34,2.46677e-17,5.89693e-09
0.0,2.45704e-30,1.0,0.0,1.27853e-26,2.06036e-35,4.20017e-20,2.65483e-24,2.16504e-30
1.25745e-37,1.89826e-22,1.0,0.0,1.13895e-19,1.05921e-26,2.01976e-15,2.18552e-18,1.47912e-22
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.6579e-10,3.2877e-33,0.0,1.46421e-30,5.88205e-19,2.7443e-18,3.88629e-38,1.0,8.99127e-16
0.0,1.55522e-31,1.0,0.0,1.90697e-27,3.04692e-36,1.58435e-20,6.08254e-25,4.28382e-31
